,PageViewsNonEnglish,birthcity,birthyear,continentName,countryCode,countryCode3,countryName,domain,en_curid,gender,industry,latitude,longitude,name,occupation
13,17048488,Pittsburgh,1928,North America,US,USA,United States,ARTS,864,Male,FINE ARTS,40.4,-80.0,Andy Warhol,ARTIST
15,6087721,"Shinagawa, Tokyo",1910,Asia,JP,JPN,Japan,ARTS,872,Male,FILM AND THEATRE,35.6,139.7,Akira Kurosawa,FILM DIRECTOR
16,2958467,Moscow,1981,Europe,RU,RUS,Russia,SPORTS,890,Female,INDIVIDUAL SPORTS,55.8,37.6,Anna Kournikova,TENNIS PLAYER
17,160931,Ryazan,1856,Europe,RU,RUS,Russia,SCIENCE & TECHNOLOGY,915,Male,MATH,54.6,39.7,Andrey Markov,MATHEMATICIAN
18,671977,Kilburn,1882,Europe,GB,GBR,United Kingdom,HUMANITIES,924,Male,LANGUAGE,53.0,-1.4,A. A. Milne,WRITER
19,1062124,New York City,1928,North America,US,USA,United States,HUMANITIES,930,Male,LANGUAGE,40.7,-74.0,Alvin Toffler,WRITER
20,3941880,Mannheim,1905,Europe,DE,DEU,Germany,ARTS,954,Male,DESIGN,49.5,8.5,Albert Speer,ARCHITECT
21,7035029,London,1815,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,974,Female,MATH,51.5,-0.1,Ada Lovelace,MATHEMATICIAN
22,12702957,Drean,1913,Africa,DZ,DZA,Algeria,HUMANITIES,983,Male,LANGUAGE,36.7,7.8,Albert Camus,WRITER
23,12837332,Torquay,1890,Europe,GB,GBR,United Kingdom,HUMANITIES,984,Female,LANGUAGE,50.5,-3.5,Agatha Christie,WRITER
24,1231624,Unknown,-1400,Africa,EG,EGY,Egypt,INSTITUTIONS,1006,Male,RELIGION,30.6,31.5,Aaron,RELIGIOUS FIGURE
25,2346486,Newark,1926,North America,US,USA,United States,HUMANITIES,1017,Male,LANGUAGE,40.7,-74.2,Allen Ginsberg,WRITER
26,979795,Zlatoust,1951,Europe,RU,RUS,Russia,SPORTS,1020,Male,INDIVIDUAL SPORTS,55.2,59.7,Anatoly Karpov,CHESSMASTER
27,3086528,Athens,-446,Europe,GR,GRC,Greece,HUMANITIES,1028,Male,LANGUAGE,38.0,23.7,Aristophanes,WRITER
28,3947368,Kaysersberg,1875,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1029,Male,MEDICINE,48.1,7.3,Albert Schweitzer,PHYSICIAN
29,572266,Sainte-Foy-lès-Lyon,1873,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1051,Male,MEDICINE,45.7,4.8,Alexis Carrel,PHYSICIAN
30,1582261,Paris,1844,Europe,FR,FRA,France,HUMANITIES,1057,Male,LANGUAGE,48.9,2.4,Anatole France,WRITER
31,2372638,Paris,1869,Europe,FR,FRA,France,HUMANITIES,1058,Male,LANGUAGE,48.9,2.4,André Gide,WRITER
32,7617986,Bukhara,980,Asia,UZ,UZB,Uzbekistan,HUMANITIES,1130,Male,PHILOSOPHY,39.8,64.5,Avicenna,PHILOSOPHER
33,469271,"Broglie, Eure",1788,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1141,Male,NATURAL SCIENCES,49.0,0.5,Augustin-Jean Fresnel,PHYSICIST
34,3526524,Miletus,-610,Asia,TR,TUR,Turkey,HUMANITIES,1168,Male,PHILOSOPHY,37.5303,27.2783,Anaximander,PHILOSOPHER
35,6914519,Leamington Spa,1875,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1177,Male,RELIGION,52.3,-1.5,Aleister Crowley,RELIGIOUS FIGURE
36,9311957,Maida Vale,1912,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,1208,Male,COMPUTER SCIENCE,51.5,-0.2,Alan Turing,COMPUTER SCIENTIST
37,31865,Logierait,1822,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1235,Male,GOVERNMENT,56.7,-3.7,Alexander Mackenzie,POLITICIAN
38,1755090,Patna,-304,Asia,IN,IND,India,INSTITUTIONS,1239,Male,GOVERNMENT,25.6,85.1,Ashoka,POLITICIAN
39,1101817,Mexico City,1961,North America,MX,MEX,Mexico,ARTS,1247,Male,FILM AND THEATRE,19.4,-99.1,Alfonso Cuarón,FILM DIRECTOR
40,1507323,Lanuvium,86,Europe,IT,ITA,Italy,INSTITUTIONS,1256,Male,GOVERNMENT,41.6747,12.6976,Antoninus Pius,POLITICIAN
41,11763148,Rome,-63,Europe,IT,ITA,Italy,INSTITUTIONS,1273,Male,GOVERNMENT,41.9,12.5,Augustus,POLITICIAN
42,2729928,Lyon,1775,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1363,Male,NATURAL SCIENCES,45.8,4.8,André-Marie Ampère,PHYSICIST
43,1592651,Trier,337,Europe,DE,DEU,Germany,INSTITUTIONS,1370,Male,RELIGION,49.7,6.6,Ambrose,RELIGIOUS FIGURE
44,418682,Samaria,-900,Asia,IL,ISR,Israel,INSTITUTIONS,1389,Male,GOVERNMENT,32.1431,35.2606,Ahab,POLITICIAN
45,573455,York,735,Europe,GB,GBR,United Kingdom,HUMANITIES,1408,Male,PHILOSOPHY,54.0,-1.1,Alcuin,PHILOSOPHER
46,11569851,Venice,1678,Europe,IT,ITA,Italy,ARTS,1425,Male,MUSIC,45.4,12.3,Antonio Vivaldi,COMPOSER
49,1657768,Llanbadoc,1823,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,1494,Male,NATURAL SCIENCES,51.7,-2.9,Alfred Russel Wallace,BIOLOGIST
50,108133,Ansbach,1490,Europe,DE,DEU,Germany,INSTITUTIONS,1514,Male,GOVERNMENT,49.3,10.6,"Albert I, Duke of Prussia",NOBLEMAN
51,961760,Manisa,1590,Asia,TR,TUR,Turkey,INSTITUTIONS,1527,Male,GOVERNMENT,38.6,27.4,Ahmed I,POLITICIAN
52,503034,Topkapı Palace,1643,Asia,TR,TUR,Turkey,INSTITUTIONS,1528,Male,GOVERNMENT,41.0,29.0,Ahmed II,POLITICIAN
54,214629,Sparta,-444,Europe,GR,GRC,Greece,INSTITUTIONS,1550,Male,GOVERNMENT,37.1,22.4,Agesilaus II,POLITICIAN
55,1022113,Cologne,15,Europe,DE,DEU,Germany,INSTITUTIONS,1557,Female,GOVERNMENT,50.9,7.0,Agrippina the Younger,POLITICIAN
56,230733,Multan,1722,Asia,PK,PAK,Pakistan,INSTITUTIONS,1560,Male,GOVERNMENT,30.2,71.5,Ahmed Shah Abdali,POLITICIAN
57,1053122,Peuce Island,370,Europe,RO,ROU,Romania,INSTITUTIONS,1570,Male,GOVERNMENT,45.0667,28.75,Alaric I,POLITICIAN
58,282669,Tulcea,450,Europe,RO,ROU,Romania,INSTITUTIONS,1571,Male,GOVERNMENT,45.2,28.8,Alaric II,POLITICIAN
59,1589263,Lauingen,1193,Europe,DE,DEU,Germany,INSTITUTIONS,1573,Male,RELIGION,52.3,10.8,Albertus Magnus,RELIGIOUS FIGURE
60,301469,Pannonia,530s,Europe,RS,SRB,Serbia,INSTITUTIONS,1575,Male,GOVERNMENT,45.8,19.5,Alboin,POLITICIAN
61,465519,Vila Franca de Xira,1453,Europe,PT,PRT,Portugal,INSTITUTIONS,1576,Male,GOVERNMENT,39.0,-9.0,Afonso de Albuquerque,NOBLEMAN
62,415242,Mytilene,-620,Europe,GR,GRC,Greece,HUMANITIES,1577,Male,LANGUAGE,39.1,26.5,Alcaeus,WRITER
63,98678,Izmir,-200,Asia,TR,TUR,Turkey,INSTITUTIONS,1586,Male,GOVERNMENT,38.4,27.1,Alexander Balas,POLITICIAN
64,4416026,Moscow,1818,Europe,RU,RUS,Russia,INSTITUTIONS,1591,Male,GOVERNMENT,55.8,37.6,Alexander II of Russia,POLITICIAN
65,3324478,Saint Petersburg,1845,Europe,RU,RUS,Russia,INSTITUTIONS,1592,Male,GOVERNMENT,59.9,30.3,Alexander III of Russia,POLITICIAN
66,83659,Dunfermline,1078,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1593,Male,GOVERNMENT,56.1,-3.5,Alexander I of Scotland,POLITICIAN
67,83334,Haddington,1198,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1594,Male,GOVERNMENT,56.0,-2.8,Alexander II of Scotland,POLITICIAN
68,361627,Belgrade,1876,Europe,RS,SRB,Serbia,INSTITUTIONS,1595,Male,GOVERNMENT,44.8,20.5,Alexander I of Serbia,POLITICIAN
69,111689,Roxburgh,1241,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1596,Male,GOVERNMENT,55.6,-2.5,Alexander III of Scotland,POLITICIAN
70,934751,Akkar,208,Asia,LB,LBN,Lebanon,INSTITUTIONS,1600,Male,GOVERNMENT,34.5,36.1,Alexander Severus,POLITICIAN
71,587919,Istanbul,1048,Asia,TR,TUR,Turkey,INSTITUTIONS,1613,Male,GOVERNMENT,41.0,29.0,Alexios I Komnenos,POLITICIAN
72,183252,Constantinople,1169,Asia,TR,TUR,Turkey,INSTITUTIONS,1615,Male,GOVERNMENT,41.1,29.0,Alexios II Komnenos,POLITICIAN
73,207335,Istanbul,1153,Asia,TR,TUR,Turkey,INSTITUTIONS,1616,Male,GOVERNMENT,41.0,29.0,Alexios III Angelos,POLITICIAN
75,2357749,Waxhaw,1767,North America,US,USA,United States,INSTITUTIONS,1623,Male,GOVERNMENT,34.9,-80.7,Andrew Jackson,POLITICIAN
76,1651113,Raleigh,1808,North America,US,USA,United States,INSTITUTIONS,1624,Male,GOVERNMENT,35.8,-78.6,Andrew Johnson,POLITICIAN
77,2578014,Kislovodsk,1918,Europe,RU,RUS,Russia,HUMANITIES,1625,Male,LANGUAGE,43.9,42.7,Aleksandr Solzhenitsyn,WRITER
78,1448397,Oxfordshire,849,Europe,GB,GBR,United Kingdom,INSTITUTIONS,1640,Male,GOVERNMENT,51.8,-1.2,Alfred the Great,POLITICIAN
79,2395067,Basra,965,Asia,IQ,IRQ,Iraq,SCIENCE & TECHNOLOGY,1645,Male,NATURAL SCIENCES,30.5,47.8,Ibn al-Haitham,PHYSICIST
81,245029,Tuscany,495,Europe,IT,ITA,Italy,PUBLIC FIGURE,1655,Female,COMPANIONS,43.8,11.2,Amalasuntha,COMPANION
82,1083717,Coimbra,1109,Europe,PT,PRT,Portugal,INSTITUTIONS,1657,Male,GOVERNMENT,40.2,-8.4,Afonso I of Portugal,POLITICIAN
83,264096,Coimbra,1185,Europe,PT,PRT,Portugal,INSTITUTIONS,1658,Male,GOVERNMENT,40.2,-8.4,Afonso II of Portugal,POLITICIAN
84,322198,Coimbra,1210,Europe,PT,PRT,Portugal,INSTITUTIONS,1659,Male,GOVERNMENT,40.2,-8.4,Afonso III of Portugal,POLITICIAN
85,261386,Lisbon,1291,Europe,PT,PRT,Portugal,INSTITUTIONS,1660,Male,GOVERNMENT,38.7,-9.1,Afonso IV of Portugal,POLITICIAN
86,407928,Sintra National Palace,1432,Europe,PT,PRT,Portugal,INSTITUTIONS,1661,Male,GOVERNMENT,38.8,-9.4,Afonso V of Portugal,POLITICIAN
87,1332456,Madrid,1857,Europe,ES,ESP,Spain,INSTITUTIONS,1676,Male,GOVERNMENT,40.4,-3.7,Alfonso XII of Spain,POLITICIAN
88,2254179,Madrid,1886,Europe,ES,ESP,Spain,INSTITUTIONS,1677,Male,GOVERNMENT,40.4,-3.7,Alfonso XIII of Spain,POLITICIAN
89,455458,Medina del Campo,1396,Europe,ES,ESP,Spain,INSTITUTIONS,1686,Male,GOVERNMENT,41.3,-4.9,Alfonso V of Aragon,POLITICIAN
90,199981,Unknown,-100,Europe,BE,BEL,Belgium,INSTITUTIONS,1698,Male,GOVERNMENT,49.8,5.1,Ambiorix,POLITICIAN
91,2130477,Mecca,573,Asia,SA,SAU,Saudi Arabia,INSTITUTIONS,1715,Male,RELIGION,21.4,39.8,Abu Bakr,RELIGIOUS FIGURE
94,2582366,Miletus,-585,Asia,TR,TUR,Turkey,HUMANITIES,1748,Male,PHILOSOPHY,37.5303,27.2783,Anaximenes of Miletus,PHILOSOPHER
95,463482,Rome,-700,Europe,IT,ITA,Italy,INSTITUTIONS,1749,Male,GOVERNMENT,41.9,12.5,Ancus Marcius,POLITICIAN
96,361155,Esztergom,1177,Europe,HU,HUN,Hungary,INSTITUTIONS,1755,Male,GOVERNMENT,47.8,18.7,Andrew II of Hungary,POLITICIAN
97,201212,Constantinople,1297,Asia,TR,TUR,Turkey,INSTITUTIONS,1760,Male,GOVERNMENT,41.1,29.0,Andronikos III Palaiologos,POLITICIAN
98,240045,İznik,1259,Asia,TR,TUR,Turkey,INSTITUTIONS,1761,Male,GOVERNMENT,40.4,29.7,Andronikos II Palaiologos,POLITICIAN
99,299777,Istanbul,1118,Asia,TR,TUR,Turkey,INSTITUTIONS,1762,Male,GOVERNMENT,41.0,29.0,Andronikos I Komnenos,POLITICIAN
101,1021803,Madaurus,120,Africa,DZ,DZA,Algeria,HUMANITIES,1789,Male,LANGUAGE,36.1,7.8,Apuleius,WRITER
102,849004,Fife,1676,Europe,GB,GBR,United Kingdom,PUBLIC FIGURE,1790,Male,OUTLAWS,56.2,-3.1,Alexander Selkirk,PIRATE
103,25234687,Thal,1947,Europe,AT,AUT,Austria,ARTS,1806,Male,FILM AND THEATRE,47.1,15.4,Arnold Schwarzenegger,ACTOR
104,13092253,Kirkcaldy,1723,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,1814,Male,SOCIAL SCIENCES,56.1,-3.2,Adam Smith,ECONOMIST
105,6980511,Paris,1743,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1822,Male,NATURAL SCIENCES,48.9,2.4,Antoine Lavoisier,CHEMIST
106,1832534,Allahabad,1942,Asia,IN,IND,India,ARTS,1828,Male,FILM AND THEATRE,25.4,81.8,Amitabh Bachchan,ACTOR
107,213381,Sicily,-361,Europe,IT,ITA,Italy,INSTITUTIONS,1840,Male,GOVERNMENT,37.6,14.0,Agathocles of Syracuse,POLITICIAN
108,972022,Dijon,1789,Europe,FR,FRA,France,SCIENCE & TECHNOLOGY,1842,Male,MATH,47.3,5.0,Augustin Louis Cauchy,MATHEMATICIAN
109,14733294,Syracuse,-287,Europe,IT,ITA,Italy,SCIENCE & TECHNOLOGY,1844,Male,MATH,37.1,15.3,Archimedes,MATHEMATICIAN
110,897628,Laval,1873,Europe,FR,FRA,France,HUMANITIES,1869,Male,LANGUAGE,48.1,-0.8,Alfred Jarry,WRITER
111,120342,Aydın,474,Asia,TR,TUR,Turkey,SCIENCE & TECHNOLOGY,1873,Male,MATH,37.9,27.8,Anthemius of Tralles,MATHEMATICIAN
112,4935566,Como,1745,Europe,IT,ITA,Italy,SCIENCE & TECHNOLOGY,1923,Male,NATURAL SCIENCES,45.8,9.1,Alessandro Volta,PHYSICIST
113,5582714,Lochfield,1881,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,1937,Male,NATURAL SCIENCES,55.6,-4.3,Alexander Fleming,BIOLOGIST
114,1861907,Dunfermline,1835,North America,US,USA,United States,BUSINESS & LAW,1938,Male,BUSINESS,40.5,-90.0,Andrew Carnegie,BUSINESSPERSON
115,936944,Lutjegast,1603,Europe,NL,NLD,Netherlands,EXPLORATION,1988,Male,EXPLORERS,53.2,6.3,Abel Tasman,EXPLORER
116,2219983,Kuortane,1898,Europe,FI,FIN,Finland,ARTS,2009,Male,DESIGN,62.8,23.5,Alvar Aalto,ARCHITECT
117,252017,United Kingdom,1910,Europe,GB,GBR,United Kingdom,HUMANITIES,2018,Male,PHILOSOPHY,55.4,-3.4,A.J. Ayer,PHILOSOPHER
118,143605,Langesund,1917,Europe,NO,NOR,Norway,SCIENCE & TECHNOLOGY,2021,Male,MATH,59.0,9.7,Atle Selberg,MATHEMATICIAN
119,4336705,Eleusina,-525,Europe,GR,GRC,Greece,HUMANITIES,2023,Male,LANGUAGE,38.0,23.5,Aeschylus,WRITER
120,1300824,Cambridge,1953,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,2027,Male,MATH,52.2,0.1,Andrew Wiles,MATHEMATICIAN
121,607703,"Thornton, Bradford",1820,Europe,GB,GBR,United Kingdom,HUMANITIES,2029,Female,LANGUAGE,53.8,-1.8,Anne Brontë,WRITER
122,11756382,Souk Ahras,354,Africa,DZ,DZA,Algeria,HUMANITIES,2030,Male,PHILOSOPHY,36.3,8.0,Augustine of Hippo,PHILOSOPHER
123,450048,Berlin,1928,Europe,DE,DEU,Germany,SCIENCE & TECHNOLOGY,2042,Male,MATH,52.5,13.4,Alexander Grothendieck,MATHEMATICIAN
124,4894792,Florence,1454,Europe,IT,ITA,Italy,EXPLORATION,2062,Male,EXPLORERS,43.8,11.2,Amerigo Vespucci,EXPLORER
125,381502,Banyuls-sur-Mer,1861,Europe,FR,FRA,France,ARTS,2063,Male,FINE ARTS,42.5,3.1,Aristide Maillol,PAINTER
126,2028093,Possagno,1757,Europe,IT,ITA,Italy,ARTS,2064,Male,FINE ARTS,45.9,11.9,Antonio Canova,ARTIST
127,6991400,Paris,1840,Europe,FR,FRA,France,ARTS,2065,Male,FINE ARTS,48.9,2.4,Auguste Rodin,SCULPTOR
128,1086408,Ingolstadt,1748,Europe,DE,DEU,Germany,HUMANITIES,2077,Male,PHILOSOPHY,48.8,11.4,Adam Weishaupt,PHILOSOPHER
129,1495515,Libice nad Cidlinou,956,Europe,CZ,CZE,Czech Republic,INSTITUTIONS,2108,Male,RELIGION,50.1,15.2,Adalbert of Prague,RELIGIOUS FIGURE
130,6053428,Brooklyn,1979,North America,US,USA,United States,ARTS,2144,Female,MUSIC,40.6,-74.0,Aaliyah,SINGER
131,514564,Munich,1884,Europe,DE,DEU,Germany,INSTITUTIONS,2151,Male,GOVERNMENT,48.1,11.6,Anton Drexler,POLITICIAN
132,1551592,Panjshīr Province,1953,Asia,AF,AFG,Afghanistan,INSTITUTIONS,2176,Male,GOVERNMENT,35.5,70.0,Ahmed Shah Massoud,POLITICIAN
133,545062,Spain,370,Europe,ES,ESP,Spain,INSTITUTIONS,2180,Male,GOVERNMENT,40.5,-3.7,Arcadius,POLITICIAN
134,544672,Copenhagen,1922,Europe,DK,DNK,Denmark,SCIENCE & TECHNOLOGY,2201,Male,NATURAL SCIENCES,55.7,12.6,Aage Niels Bohr,PHYSICIST
135,259883,Naples,1370,Europe,IT,ITA,Italy,INSTITUTIONS,2238,Male,RELIGION,40.9,14.3,Antipope John XXIII,RELIGIOUS FIGURE
136,2779001,Legnago,1750,Europe,IT,ITA,Italy,ARTS,2241,Male,MUSIC,45.2,11.3,Antonio Salieri,COMPOSER
137,515476,Kendal,1882,Europe,GB,GBR,United Kingdom,SCIENCE & TECHNOLOGY,2274,Male,NATURAL SCIENCES,54.3,-2.7,Arthur Stanley Eddington,ASTRONOMER
138,2315739,Harlem,1915,North America,US,USA,United States,HUMANITIES,2310,Male,LANGUAGE,40.8,-73.9,Arthur Miller,WRITER
140,676017,Palermo,1660,Europe,IT,ITA,Italy,ARTS,2363,Male,MUSIC,38.1,13.4,Alessandro Scarlatti,COMPOSER
141,790168,Marktbreit,1864,Europe,DE,DEU,Germany,SCIENCE & TECHNOLOGY,2383,Male,MEDICINE,49.7,10.1,Alois Alzheimer,PHYSICIAN
142,964869,Tokoname,1921,Asia,JP,JPN,Japan,BUSINESS & LAW,2391,Male,BUSINESS,34.9,136.8,Akio Morita,BUSINESSPERSON
143,8691259,Margam,1937,Europe,GB,GBR,United Kingdom,ARTS,2397,Male,FILM AND THEATRE,51.5,-3.7,Anthony Hopkins,ACTOR
144,6954718,Nuremberg,1471,Europe,DE,DEU,Germany,ARTS,2402,Male,FINE ARTS,49.5,11.1,Albrecht Dürer,PAINTER
145,1134882,Vienna,1885,Europe,AT,AUT,Austria,ARTS,2406,Male,MUSIC,48.2,16.4,Alban Berg,COMPOSER
146,592477,Dahod,1618,Asia,IN,IND,India,INSTITUTIONS,2425,Male,GOVERNMENT,22.8,74.3,Aurangzeb,POLITICIAN
147,1974151,Stampa,1901,Europe,CH,CHE,Switzerland,ARTS,2433,Male,FINE ARTS,46.3,9.6,Alberto Giacometti,ARTIST
148,382431,Regensburg,1480,Europe,DE,DEU,Germany,ARTS,2440,Male,FINE ARTS,49.0,12.1,Albrecht Altdorfer,PAINTER
149,5748461,Taganrog,1860,Europe,RU,RUS,Russia,HUMANITIES,2447,Male,LANGUAGE,47.2,38.9,Anton Chekhov,WRITER
151,1096946,Ulyanovsk,1881,Europe,RU,RUS,Russia,INSTITUTIONS,2543,Male,GOVERNMENT,54.3,48.4,Alexander Kerensky,POLITICIAN
152,201542,Amiens,801,Europe,FR,FRA,France,INSTITUTIONS,2544,Male,RELIGION,49.9,2.3,Ansgar,RELIGIOUS FIGURE
153,272331,Missing,1050,Europe,DE,DEU,Germany,HUMANITIES,2552,Male,LANGUAGE,49.6,8.5,Adam of Bremen,WRITER
154,2999778,Grenoble,1946,Europe,FR,FRA,France,SPORTS,2575,Male,INDIVIDUAL SPORTS,45.2,5.7,André the Giant,WRESTLER
155,313472,Alexandria,1874,Africa,EG,EGY,Egypt,INSTITUTIONS,2609,Male,GOVERNMENT,31.2,29.9,Abbas II of Egypt,POLITICIAN
156,698259,Damascus,731,Asia,SY,SYR,Syria,INSTITUTIONS,2676,Male,GOVERNMENT,33.5,36.3,Abd ar-Rahman I,POLITICIAN
157,648840,Córdoba,912,Europe,ES,ESP,Spain,INSTITUTIONS,2678,Male,GOVERNMENT,37.9,-4.8,Abd-ar-Rahman III,POLITICIAN
158,1021983,Istanbul,1830,Asia,TR,TUR,Turkey,INSTITUTIONS,2681,Male,GOVERNMENT,41.0,29.0,Abdülâziz,POLITICIAN
159,558816,Istanbul,1725,Asia,TR,TUR,Turkey,INSTITUTIONS,2692,Male,GOVERNMENT,41.0,29.0,‘Abdu’l-Hamid I,POLITICIAN
160,161936,Kabul,1844,Asia,AF,AFG,Afghanistan,INSTITUTIONS,2695,Male,GOVERNMENT,34.5,69.2,Abdur Rahman Khan,POLITICIAN
161,1974950,Uppsala,1701,Europe,SE,SWE,Sweden,SCIENCE & TECHNOLOGY,2722,Male,NATURAL SCIENCES,59.9,17.6,Anders Celsius,ASTRONOMER
162,1229090,Moscow,1921,Europe,RU,RUS,Russia,SCIENCE & TECHNOLOGY,2786,Male,NATURAL SCIENCES,55.8,37.6,Andrei Sakharov,PHYSICIST
163,198153,Riga,1886,Europe,LV,LVA,Latvia,HUMANITIES,2812,Male,LANGUAGE,56.9,24.1,Aron Nimzowitsch,WRITER
164,5342623,Yangon,1945,Asia,MM,MMR,Myanmar [Burma],PUBLIC FIGURE,2847,Female,ACTIVISM,16.8,96.2,Aung San Suu Kyi,SOCIAL ACTIVIST
165,371591,Florence,1771,Europe,IT,ITA,Italy,INSTITUTIONS,2875,Male,GOVERNMENT,43.8,11.2,"Archduke Charles, Duke of Teschen",NOBLEMAN
166,366689,Rome,630,Europe,IT,ITA,Italy,INSTITUTIONS,2877,Male,RELIGION,41.9,12.5,Augustine of Canterbury,RELIGIOUS FIGURE
167,1486397,Port Said,1961,Africa,EG,EGY,Egypt,ARTS,2911,Male,MUSIC,31.3,32.3,Amr Diab,SINGER
168,1596394,Neuilly-sur-Seine,1903,Europe,FR,FRA,France,HUMANITIES,2919,Female,LANGUAGE,48.9,2.3,Anaïs Nin,WRITER
169,4666892,Kfar Malal,1928,Asia,IL,ISR,Israel,INSTITUTIONS,2944,Male,GOVERNMENT,32.2,34.9,Ariel Sharon,POLITICIAN
170,293290,Moscow,1956,Europe,RU,RUS,Russia,SCIENCE & TECHNOLOGY,3017,Male,COMPUTER SCIENCE,55.8,37.6,Alexey Pazhitnov,COMPUTER SCIENTIST
171,166671,Tehran,1844,Asia,IR,IRN,Iran,INSTITUTIONS,3019,Male,RELIGION,35.7,51.4,`Abdu'l-Bahá,RELIGIOUS FIGURE
172,6800088,"Kiyosu, Aichi",1955,Asia,JP,JPN,Japan,ARTS,3092,Male,DESIGN,35.2,136.9,Akira Toriyama,COMIC ARTIST
173,626888,White Plains,1944,North America,US,USA,United States,SCIENCE & TECHNOLOGY,3110,Male,COMPUTER SCIENCE,41.0,-73.8,Andrew S. Tanenbaum,COMPUTER SCIENTIST
174,710884,Dinant,1814,Europe,BE,BEL,Belgium,SCIENCE & TECHNOLOGY,3132,Male,INVENTION,50.3,4.9,Adolphe Sax,INVENTOR
175,13268981,Brooklyn,1899,North America,US,USA,United States,PUBLIC FIGURE,3212,Male,OUTLAWS,40.6,-74.0,Al Capone,MAFIOSO
176,778938,Alexandria,296,Africa,EG,EGY,Egypt,HUMANITIES,3225,Male,PHILOSOPHY,31.2,29.9,Athanasius of Alexandria,PHILOSOPHER
177,1902478,Bani Sweif,251,Africa,EG,EGY,Egypt,INSTITUTIONS,3246,Male,RELIGION,29.1,31.1,Anthony the Great,RELIGIOUS FIGURE
178,9907777,Hope,1946,North America,US,USA,United States,INSTITUTIONS,3356,Male,GOVERNMENT,33.7,-93.6,Bill Clinton,POLITICIAN
179,27602669,Kentwood,1981,North America,US,USA,United States,ARTS,3382,Female,MUSIC,42.9,-85.6,Britney Spears,SINGER
180,11353953,Lumbini,-563,Asia,NP,NPL,Nepal,HUMANITIES,3395,Male,PHILOSOPHY,27.5,83.3,Gautama Buddha,PHILOSOPHER
181,5717122,Amsterdam,1632,Europe,NL,NLD,Netherlands,HUMANITIES,3408,Male,PHILOSOPHY,52.4,4.9,Baruch Spinoza,PHILOSOPHER
182,562986,Aarhus,1950,Europe,DK,DNK,Denmark,SCIENCE & TECHNOLOGY,3713,Male,ENGINEERING,56.2,10.2,Bjarne Stroustrup,ENGINEER
